TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
GEPA4;32,25;10,86;6,29;1,59;0,79;83,28;82,27;37,38;2,86;3,93;1,07;0,60;2,35;-5,15;-0,86;0,34;25,35;12,54;27,61;0,49;0,51;0,34;3,60;21,53;81.043,12;20,22;5,13;0,06;3.053.342.817,00
GETT11;3,59;;50,77;1,99;0,13;33,79;15,24;9,84;32,79;;4,34;0,26;5,00;4,44;-3,44;1,03;3,91;0,26;2,41;0,07;0,93;0,03;;;16.478.597,78;1,81;0,07;;
GETT3;1,89;;26,73;1,05;0,07;33,79;15,24;9,84;17,26;;4,34;0,26;2,63;2,34;-1,81;1,03;3,91;0,26;2,41;0,07;0,93;0,03;;;5.800.143,67;1,81;0,07;;
GETT4;1,67;;23,62;0,92;0,06;33,79;15,24;9,84;15,26;;4,34;0,26;2,32;2,07;-1,60;1,03;3,91;0,26;2,41;0,07;0,93;0,03;;;4.341.161,33;1,81;0,07;;
GFSA3;2,08;;11,46;0,40;0,17;25,06;12,25;5,21;4,87;9,98;5,10;0,42;0,60;0,41;-0,56;2,44;3,47;1,48;4,31;0,43;0,57;0,28;-9,34;-3,83;22.853.865,92;5,23;0,18;-0,06;701.887.112,16
GGBR3;21,19;15,29;2,80;0,89;0,48;25,98;27,09;18,45;1,91;2,67;0,46;0,21;0,52;1,63;-0,91;2,70;31,63;17,24;24,01;0,55;0,45;0,93;0,11;;2.019.229,14;23,89;7,56;0,00;42.227.026.233,57
GGBR4;26,24;12,35;3,47;1,10;0,60;25,98;27,09;18,45;2,37;2,67;0,46;0,21;0,64;2,02;-1,13;2,70;31,63;17,24;24,01;0,55;0,45;0,93;0,11;;364.696.760,58;23,89;7,56;0,00;42.227.026.233,57
GGPS3;15,84;1,18;30,07;4,88;1,90;18,46;9,11;5,70;18,80;18,79;-0,01;0,00;1,71;7,32;-4,03;1,97;16,23;6,33;11,90;0,39;0,61;1,11;;;19.470.055,69;3,25;0,53;;10.573.054.113,60
GMAT3;6,25;;18,43;2,23;1,50;23,59;5,78;4,97;15,85;16,29;0,44;0,06;0,92;2,98;-4,60;3,96;12,09;8,14;11,41;0,67;0,32;1,64;;;39.382.786,47;2,81;0,34;0,95;13.808.412.993,75
GNDI3;68,58;0,41;-3.642,38;5,93;2,42;18,55;3,28;-0,10;106,13;111,02;4,90;0,27;3,48;80,93;-3,06;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;277.642.910,06;11,57;-0,02;35,91;42.193.305.069,66
GOAU3;9,89;24,37;2,63;0,72;0,14;25,98;27,04;5,81;0,56;0,98;0,37;0,47;0,15;0,45;-0,27;2,80;27,27;5,32;23,28;0,19;0,44;0,91;0,11;;2.060.579,67;13,81;3,76;0,00;11.489.409.930,62
GOAU4;10,91;22,09;2,90;0,79;0,15;25,98;27,04;5,81;0,62;0,98;0,37;0,47;0,17;0,50;-0,30;2,80;27,27;5,32;23,28;0,19;0,44;0,91;0,11;;149.519.755,08;13,81;3,76;0,00;11.489.409.930,62
GOLL4;17,10;;-12,36;-2,97;4,19;1,09;-37,56;-68,65;-22,60;-7,25;-4,44;;8,49;-6,43;-5,33;0,25;-24,05;-33,93;39,22;-1,41;2,41;0,49;-8,21;;110.700.104,08;-5,75;-1,38;0,56;6.774.690.294,90
GPAR3;43,00;1,18;21,43;2,18;1,58;80,51;114,03;65,01;12,22;11,84;-0,38;-0,07;13,93;4,87;-2,54;6,92;10,18;7,37;11,20;0,72;0,28;0,11;40,68;;23.834,63;19,72;2,01;0,38;3.350.922.576,00
GPIV33;6,05;;0,37;0,14;0,07;100,00;89,21;58,32;0,24;-0,67;-0,91;-0,52;0,21;0,26;-0,09;6,79;37,61;17,95;32,62;0,48;0,19;0,31;;;2.477.292,19;43,90;16,51;0,00;270.950.768,55
GRAO3;0,00;;0,00;0,00;0,00;1,42;0,54;0,48;0,00;8,11;8,11;4,27;0,00;0,00;0,00;1,01;46,95;2,29;2,46;0,05;0,95;4,72;;;;0,24;0,11;;0,00
GRND3;8,70;9,03;11,55;1,92;1,77;44,99;18,53;28,43;17,73;14,37;-3,36;-0,36;3,28;2,73;-6,07;11,45;16,65;15,30;9,63;0,92;0,08;0,54;-2,95;4,27;21.641.122,53;4,52;0,75;0,09;7.848.792.000,00
GSHP3;37,00;;-1,12;-0,11;0,04;71,30;73,01;-52,82;0,81;18,54;17,72;;0,59;1,32;-0,05;1,16;-9,79;-3,62;6,81;-0,37;1,37;0,07;-18,98;;47.601,00;-336,57;-32,95;0,01;71.364.453,00
GUAR3;11,47;4,06;11,08;1,11;0,42;51,01;7,26;7,44;11,36;14,68;3,32;0,32;0,82;2,08;-1,04;1,52;10,01;3,81;3,34;0,38;0,62;0,51;2,55;8,08;10.475.937,39;10,34;1,03;0,01;5.725.824.000,00
HAGA3;4,40;;5,22;-0,79;0,83;31,17;25,36;22,26;4,58;2,57;-0,25;;1,16;2,32;-4,89;1,76;-15,13;15,87;-30,38;-1,05;2,05;0,71;0,12;26,11;87.586,67;-5,57;0,84;0,05;32.288.667,51
HAGA4;1,87;;2,22;-0,34;0,35;31,17;25,36;22,26;1,95;2,57;-0,25;;0,49;0,98;-2,08;1,76;-15,13;15,87;-30,38;-1,05;2,05;0,71;0,12;26,11;124.564,08;-5,57;0,84;0,02;32.288.667,51
HAPV3;12,27;0,47;122,63;4,50;2,74;31,11;5,87;4,07;85,10;84,26;-0,84;-0,04;5,00;107,69;-3,49;1,14;3,67;2,24;3,57;0,61;0,39;0,55;28,32;5,27;251.168.716,17;2,73;0,10;-2,16;47.749.560.832,50
HBOR3;4,93;0,96;6,22;0,49;0,16;26,12;16,13;10,56;4,07;9,54;5,46;0,66;0,66;0,36;-0,48;2,76;7,92;2,49;4,49;0,31;0,57;0,24;-5,72;9,02;8.240.490,22;10,00;0,79;-0,01;659.885.784,96
HBRE3;9,74;;-18,13;0,57;0,29;83,54;79,19;-69,44;15,90;23,12;7,23;0,26;12,59;3,23;-0,35;2,12;-3,14;-1,62;1,05;0,52;0,40;0,02;;;197.505,51;17,13;-0,54;0,14;1.005.060.674,94
